Area,2023_Detected,2022_Registered,%Age_Detection_-_2023,%Age_Detected_2022,Safety_Score_0_10,Latitude,Longitude
Juhu,3556.0,3312.0,84.73684210526316,76.42105263157895,6.616666666666667,19.102,72.826
Santacruz West,3556.0,3312.0,84.73684210526316,76.42105263157895,6.616666666666667,19.081,72.841
